pitch_type,batter,pitcher,zone,stand,p_throws,type,estimated_woba_using_speedangle
SI,572233,621237,3,R,L,X,0.403
SI,672515,621237,1,R,L,X,0.498
KC,606466,518886,5,L,R,X,0.218
FF,677950,518886,4,L,R,X,1.575
FF,666971,518886,4,R,R,X,0.407
SI,592206,656464,7,R,R,X,0.061
SI,592663,656464,11,R,R,X,0.258
FF,681082,656464,3,L,R,X,0.043
FF,664761,656464,11,R,R,X,0.654
FF,656976,689147,8,L,R,X,0.053
SI,682998,642397,2,L,L,X,0.214
SI,672695,642397,4,R,L,X,0.708
FF,656896,622554,4,R,R,X,0.0
SI,607208,657044,8,R,R,X,0.679
SL,656976,622554,8,L,R,X,0.519
FF,592206,657044,1,R,R,X,0.184
SI,664761,657044,8,R,R,X,0.049
SI,682998,621381,2,L,L,X,0.205
FF,606466,621381,11,R,L,X,0.025
SL,672695,621381,5,R,L,X,0.192
SI,669016,685314,6,L,L,X,1.759
SI,592206,612434,11,R,R,X,0.302
SL,592663,612434,9,R,R,X,0.803
CH,681082,612434,14,L,R,X,0.049
FF,666971,656546,3,R,R,X,0.071
SI,664761,612434,5,R,R,X,0.329
SI,607208,612434,5,R,R,X,0.722
FF,656941,669459,2,L,L,X,1.775
SL,502054,656546,6,R,R,X,0.154
SI,672515,656546,7,R,R,X,0.243
SI,682998,650911,2,L,L,X,0.099
CH,606466,650911,14,R,L,X,0.315
FF,669016,669459,2,L,L,X,0.584
SL,672695,650911,8,R,L,X,0.0
SI,656896,650911,14,R,L,X,0.604
SI,666971,650911,6,R,L,X,0.203
CH,572233,650911,9,R,L,X,0.066
FF,592663,666818,1,R,R,X,0.494
FC,664761,666818,14,R,R,X,0.187
SI,672515,650911,5,R,L,X,0.003
CH,682998,650911,12,L,L,X,0.066
SI,606466,650911,9,R,L,X,0.098
CU,547180,573009,9,L,L,X,0.171
CH,607208,573009,12,R,L,X,0.522
SI,673962,606160,4,R,R,X,0.155
CH,641598,606160,7,R,R,X,0.118
SI,455117,527048,5,R,L,X,0.15
CH,665161,527048,14,R,L,X,0.23
FF,676801,527048,7,R,L,X,0.086
CU,608369,664208,2,L,R,X,0.581
ST,543760,664208,14,R,R,X,0.089
SI,663656,527048,4,L,L,X,0.078
SI,670541,527048,8,L,L,X,0.381
SI,643289,527048,14,R,L,X,0.223
CU,514888,527048,5,R,L,X,1.886
FC,665750,664208,9,L,R,X,0.119
ST,673962,664208,12,R,R,X,0.241
FC,663993,664208,3,L,R,X,0.124
FF,455117,519293,14,R,L,X,0.026
SL,676801,519293,13,R,L,X,1.027
FF,641680,686613,8,L,R,X,0.285
FF,641598,686613,4,R,R,X,0.1
FF,666969,686613,9,R,R,X,0.903
SL,670541,519293,13,L,L,X,0.049
FF,643289,608717,11,R,R,X,0.009
FF,514888,608717,2,R,R,X,0.503
FC,608369,686613,6,L,R,X,0.654
FC,543760,686613,6,R,R,X,0.501
FF,665750,686613,1,L,R,X,0.543
FF,676801,608717,2,R,R,X,0.564
FF,641680,686613,3,L,R,X,0.489
FF,663656,674003,5,L,L,X,1.125
FF,547989,674003,5,R,L,X,2.0
CH,670541,674003,7,L,L,X,1.668
SI,643289,641540,13,R,R,X,0.231
SL,641598,592773,9,R,R,X,0.051
FF,666969,664353,9,R,R,X,0.287
FF,608369,664353,11,L,R,X,1.243
FF,543760,664353,2,R,R,X,0.0
SL,676801,641540,14,R,R,X,0.056
FC,663656,641540,2,L,R,X,0.42
CH,673962,664353,4,R,R,X,0.11
FF,663993,664353,3,L,R,X,0.023
CU,641680,664353,7,L,R,X,0.477
CH,666969,664353,4,R,R,X,1.116
SI,547989,641540,5,R,R,X,0.169
FC,670541,641540,6,L,R,X,0.048
SI,514888,641540,9,R,R,X,0.503
FF,608369,664353,11,L,R,X,0.005
FF,543760,664353,6,R,R,X,0.485
SI,665161,641540,2,R,R,X,0.364
FF,663656,571760,3,L,L,X,0.051
CH,547989,571760,5,R,L,X,0.205
FF,670541,571760,5,L,L,X,0.672
FF,608324,571760,6,R,L,X,0.665
CH,643289,571760,9,R,L,X,0.851
CH,514888,571760,5,R,L,X,0.23
FF,606466,518886,12,L,R,X,0.919
